base,language,es
invitation-modal,guidance-text-line-1,La invitación para tu redactor
invitation-modal,guidance-text-line-2,Para completar la invitación
invitation-modal,guidance-text-line-3,De manera alternativa puedes mandar al redactor este enlace:
invitation-modal,mail-to-text,enviar email
invitation-modal,email-subject,Has sido invitado para redactar un documento
invitation-modal,email-body-line-1,Le he invitado para ayudar a redactar este documento:
invitation-modal,email-body-line-2,Por favor siga el enlace más abajo para más información y para aceptar esta invitacion:
objective-list,doc-title,Objetivos | %app-name%
objective-list,page-title,Objetivos
objective-list,promoted-objective-information,There is a limit of three promoted objectives in Spanish.
objective-list,create-objective-link,Crear un objetivo
objective-list,subtitle,Objetivos recientes
objective-list,drafting-begins,La redacción empieza en
objective-list,days,días
objective-list,drafting-started,La redacción ha comenzado
objective-list,promoted-subtitle,Promoted Objectives in Spanish
objective-list,promote-button,Promover
objective-list,demote-button,Degradar
comment-create,comment-title,Los comentarios tienen un máximo de 500 caracteres.
comment-create,post-button,Añade un comentario
comment-create,comment-label,Tu comentario
question-sign-in,sign-in,Entrar
question-sign-in,please,Por favor
question-sign-in,to,añadir una pregunta
masthead,show-navigation,Show navigation in spanish
masthead,logo-title-attr,Go to home page in spanish
masthead,objectives-link-title-attr,Go to the Objectives list in spanish
masthead,objectives-link,View Objectives in spanish
masthead,about-link-title-attr,Learn more about %app-name% in spanish
masthead,about-link,About in spanish
masthead,create-link-title-attr,Create an Objective in spanish
masthead,create-link,Create an Objective in spanish
masthead,navigation-title,Navigation in spanish
masthead,skip-to-content,Skip to content in spanish
status-bar,status-text,ALPHA: This is a testing build of %app-name%. Features and data may change several times a day. in spanish
sign-in,doc-title,Sign in or Sign up | %app-name% in spanish
sign-in,doc-description,Sign in or Sign up to %app-name% in spanish
sign-in,page-title,Sign in or Sign up in spanish
sign-in,sign-in-with-twitter,Sign in with Twitter in spanish
sign-in,sign-in-with-facebook,Sign in with Facebook in spanish
sign-in,twitter-helper-text,We will never post to Twitter without your permission. in spanish
sign-in,facebook-helper-text,We will never post to Facebook without your permission. in Spanish
sign-in,twitter-and-facebook-helper-text,We will never post to Twitter or Facebook without your permission. in Spanish
sign-in,sign-in-with-d-cent,Sign in with %stonecutter-name% in spanish
sign-up,doc-title,Sign up | %app-name% in spanish
sign-up,doc-description, in spanish
sign-up,page-title,Almost there in spanish
sign-up,username-label,Username in spanish
sign-up,username-duplicated-validation-message,This username is already taken. Please choose another. in spanish
sign-up,username-invalid-validation-message,"Username must be 1-16 characters in length, containing only letters and numbers" in spanish
sign-up,email-label,Email in spanish
sign-up,email-empty-validation-message,You must enter an email address in spanish
sign-up,email-invalid-validation-message,The email address you have entered is invalid in spanish
sign-up,button,Create account in spanish
sign-up,auth-email-invalid-message,"The email address from your account could not be retrieved, please type it below. In Spanish"
objective-guidance,heading,What is an Objective? in spanish
objective-guidance,text-line-1,A policy starts with an idea. in spanish
objective-guidance,text-line-2,These are catalysts for change. in spanish
objective-guidance,text-line-3,Everyone can comment and make suggestions to contribute towards the draft stage. in spanish
objectives-guidance,heading,What are objectives? in spanish
objectives-guidance,text-line-1,%app-name% centers its policy drafting process around objectives. in spanish
objectives-guidance,text-line-2,An objective is a change that could be achieved by introducing new policy. in spanish
create-objective-guidance,heading,Creating an objective in spanish
create-objective-guidance,item-1,"An objective is a change that could be achieved by introducing new policy. For example: improving access to public housing, or increasing the safety of our roads." in spanish
create-objective-guidance,item-2,Share your objective to encourage collaboration. in spanish
draft-guidance,heading,What is a draft? in spanish
draft-guidance,text-line-1,Drafts are versions of the policy as it is being written. in spanish
draft-guidance,text-line-2,Drafts are crafted by the writers that have been nominated for an objective. in spanish
draft-guidance,text-line-3,Everyone can comment and make suggestions. in spanish
index,doc-title,%app-name% in spanish
index,doc-description,%app-name% in spanish
index,index-welcome,Collaborative policy making for democratic organisations. in spanish
index,index-get-started-title,Objectives in spanish
index,index-intro,"Gather community opinion, generate ideas, share, discuss, vote and collaborate with experts to draft new policy." in spanish
index,create-objective-begin,A policy starts with an in spanish
index,create-objective-keyword,objective in spanish
index,create-objective-end,which describes the change the organisation wants to achieve. in spanish
index,collaborate-info,"Writers and the community work together to shape the objective by asking and answering questions." in spanish
index,draft-info-begin,The policy is written in in spanish
index,draft-info-keyword,drafts in spanish
index,draft-info-end,and each one is reviewed by the community. in spanish
index,draft-finished,The finished Policy in spanish
index,draft-finished-info,is published! in spanish
index,objectives,View Objectives in spanish
index,learn-more,Learn more in spanish
objective-list,doc-description, in spanish
create-objective,doc-title,Create an Objective | %app-name% in spanish
create-objective,doc-description, in spanish
create-objective,page-title,Create an objective in spanish
create-objective,headline,Headline in spanish
create-objective,headline-prompt,A headline should encourage contribution or discussion in spanish
create-objective,goals,Goals in spanish
create-objective,goal-2,Goal 2 in spanish
create-objective,goal-3,Goal 3 in spanish
create-objective,goals-prompt,A goal is what you’d like your change to achieve in spanish
create-objective,background,Background in spanish
create-objective,background-prompt,Provide further information on why achieving this objective is important or necessary in spanish
create-objective,submit-text,Create in spanish
create-objective,title-length-validation-message,The objective title must be between 3 and 120 characters in spanish
create-objective,description-empty-validation-message,Please enter a description for your objective in spanish
create-objective,description-length-validation-message,The objective description can have at most 5000 characters in spanish
draft,doc-title,Policy draft | %app-name% in spanish
draft,doc-description,Draft policy for objective ... in spanish
draft,add-a-draft,Add a draft in spanish
